ID_Pedido,Fecha,Ciudad,Categoria,Producto,Precio_Unitario,Cantidad,Metodo_Pago,Estado
PED_1092,2026-03-17,Ciudad de México,Juguetes,Muñeco de Acción,448,1,Transferencia,Completado
PED_1093,2026-03-18,Monterrey,Hogar,Silla Ergonómica,4406,1,Transferencia,Pendiente
PED_1094,2026-03-20,Ciudad de México,Electrónica,Cargador Rápido,464,1,Transferencia,
PED_1095,2026-03-22,Monterrey,Ropa,Chamarra Térmica,1872,3,Efectivo,Completado
PED_1096,2026-03-22,Ciudad de México,Ropa,Chamarra Térmica,1873,1,Efectivo,
PED_1097,2026-03-24,Puebla,Hogar,Silla Ergonómica,4338,1,PayPal,Completado
PED_1098,2026-03-25,Puebla,Electrónica,Smartphone X,12304,1,Efectivo,Completado
PED_1099,2026-03-28,Puebla,Deportes,Tapete de Yoga,497,3,,Completado
PED_1100,2026-03-29,Guadalajara,Electrónica,Audífonos Wireless,1562,1,Transferencia,Completado
PED_1101,2026-03-29,Ciudad de México,Electrónica,Laptop Pro,21569,2,Transferencia,Completado
PED_1102,2026-03-30,Ciudad de México,Juguetes,Muñeco de Acción,457,3,Tarjeta de Crédito,Completado
PED_1103,2026-04-01,Querétaro,Juguetes,Bloques de Construcción,930,2,Transferencia,Cancelado
PED_1104,2026-04-02,Puebla,Juguetes,Juego de Mesa,621,1,Efectivo,Completado
PED_1105,2026-04-03,Guadalajara,Electrónica,Cargador Rápido,431,1,Efectivo,Completado
PED_1106,2026-04-03,Querétaro,Ropa,Jeans Slim,813,2,Tarjeta de Crédito,Completado
PED_1107,2026-04-03,Monterrey,Deportes,Tapete de Yoga,488,1,PayPal,Completado
PED_1108,2026-04-04,Monterrey,Ropa,Chamarra Térmica,1774,1,Efectivo,Completado
PED_1109,2026-04-05,Querétaro,Juguetes,Bloques de Construcción,922,2,Efectivo,Completado
PED_1110,2026-04-06,Puebla,Ropa,Chamarra Térmica,1840,3,Efectivo,Cancelado
PED_1111,2026-04-07,Querétaro,Juguetes,Auto Control Remoto,1191,1,,Pendiente
PED_1112,2026-04-08,Puebla,Ropa,Chamarra Térmica,1732,2,Transferencia,Completado
PED_1113,2026-04-08,Querétaro,Juguetes,Auto Control Remoto,1151,3,Efectivo,Pendiente
PED_1114,2026-04-08,Ciudad de México,Hogar,Aspiradora Robot,5741,3,PayPal,Pendiente
PED_1115,2026-04-08,Ciudad de México,Ropa,Tenis Urbanos,1435,1,Efectivo,Pendiente
PED_1116,2026-04-09,Ciudad de México,Ropa,Chamarra Térmica,1815,2,Transferencia,Completado
PED_1117,2026-04-12,Querétaro,Juguetes,Bloques de Construcción,942,2,Efectivo,Completado
PED_1118,2026-04-13,Guadalajara,Juguetes,Juego de Mesa,620,1,Efectivo,Completado
PED_1119,2026-04-13,Querétaro,Juguetes,Bloques de Construcción,909,3,Efectivo,Completado
PED_1120,2026-04-18,Guadalajara,Hogar,Silla Ergonómica,3992,1,Tarjeta de Crédito,Completado
PED_1120,2026-04-18,Guadalajara,Hogar,Silla Ergonómica,3992,1,Tarjeta de Crédito,Completado
PED_1121,2026-04-19,Querétaro,Electrónica,Laptop Pro,22541,1,Transferencia,Completado
PED_1122,2026-04-19,Puebla,Hogar,Cafetera Espresso,3634,1,Transferencia,Pendiente
PED_1123,2026-04-19,Monterrey,Juguetes,Auto Control Remoto,1189,1,Tarjeta de Crédito,Completado
PED_1124,2026-04-20,Querétaro,Deportes,Termo Deportivo,350,1,Tarjeta de Crédito,Completado
PED_1125,2026-04-22,Ciudad de México,Ropa,Playera Algodón,365,1,PayPal,Pendiente
PED_1126,2026-04-25,Guadalajara,Juguetes,Juego de Mesa,577,2,Efectivo,Completado
PED_1127,2026-04-27,Monterrey,Juguetes,Bloques de Construcción,896,1,Efectivo,Completado
PED_1128,2026-04-27,Guadalajara,Hogar,Cafetera Espresso,3466,1,Transferencia,Cancelado
PED_1129,2026-04-28,Monterrey,Ropa,Tenis Urbanos,1513,2,Transferencia,Completado
PED_1130,2026-04-28,Ciudad de México,Ropa,Chamarra Térmica,1801,1,Transferencia,Completado
PED_1131,2026-04-29,Querétaro,Ropa,Jeans Slim,816,1,PayPal,Completado
PED_1132,2026-04-30,Monterrey,Electrónica,Smartphone X,12541,3,PayPal,Cancelado
PED_1133,2026-05-02,Puebla,Deportes,Balón de Fútbol,621,3,Transferencia,Cancelado
PED_1134,2026-05-05,Guadalajara,Hogar,Silla Ergonómica,4238,1,PayPal,Pendiente
PED_1135,2026-05-06,Querétaro,Hogar,Silla Ergonómica,4022,1,,Completado
PED_1136,2026-05-07,Querétaro,Electrónica,Cargador Rápido,468,2,Transferencia,Pendiente
PED_1137,2026-05-08,Monterrey,Electrónica,Cargador Rápido,432,1,Efectivo,Cancelado
PED_1138,2026-05-09,Ciudad de México,Juguetes,Juego de Mesa,591,1,PayPal,Completado
PED_1139,2026-05-10,Puebla,Hogar,Cafetera Espresso,3440,2,Transferencia,Completado
PED_1140,2026-05-10,Puebla,Deportes,Mancuernas 5kg,786,2,Efectivo,Completado
PED_1141,2026-05-10,Monterrey,Juguetes,Juego de Mesa,605,1,Efectivo,Completado
PED_1142,2026-05-11,Guadalajara,Deportes,Tapete de Yoga,507,2,Transferencia,Completado
PED_1143,2026-05-16,Querétaro,Ropa,Playera Algodón,365,2,Efectivo,Completado
PED_1144,2026-05-16,Monterrey,Electrónica,Laptop Pro,22356,2,PayPal,Completado
PED_1145,2026-05-17,Monterrey,Deportes,Mancuernas 5kg,817,1,Transferencia,Completado
PED_1146,2026-05-17,Puebla,Juguetes,Juego de Mesa,602,1,Efectivo,Completado
PED_1147,2026-05-18,Puebla,Juguetes,Auto Control Remoto,1232,2,PayPal,Completado
PED_1148,2026-05-18,Querétaro,Ropa,Playera Algodón,334,2,Transferencia,Completado
PED_1149,2026-05-18,Guadalajara,Ropa,Playera Algodón,348,2,Tarjeta de Crédito,Cancelado
PED_1150,2026-05-19,Monterrey,Juguetes,Muñeco de Acción,469,2,Transferencia,Completado
PED_1151,2026-05-20,Ciudad de México,Electrónica,Audífonos Wireless,1458,1,Transferencia,Cancelado
PED_1152,2026-05-20,Ciudad de México,Juguetes,Juego de Mesa,615,2,Efectivo,Completado
PED_1153,2026-05-22,Puebla,Ropa,Tenis Urbanos,1441,1,Tarjeta de Crédito,
PED_1154,2026-05-22,Monterrey,Deportes,Termo Deportivo,334,2,Efectivo,
PED_1155,2026-05-23,Querétaro,Hogar,Aspiradora Robot,5510,1,Tarjeta de Crédito,Cancelado
PED_1156,2026-05-24,Monterrey,Hogar,Cafetera Espresso,3658,2,Transferencia,Completado
PED_1157,2026-05-24,Querétaro,Juguetes,Muñeco de Acción,438,1,,Pendiente
PED_1158,2026-05-26,Guadalajara,Electrónica,Audífonos Wireless,1445,1,Tarjeta de Crédito,Completado
PED_1159,2026-05-26,Querétaro,Juguetes,Juego de Mesa,618,1,Efectivo,Completado
PED_1160,2026-05-28,Puebla,Electrónica,Audífonos Wireless,1565,2,Tarjeta de Crédito,Completado
PED_1161,2026-05-30,Puebla,Hogar,Silla Ergonómica,4352,1,Transferencia,
PED_1162,2026-05-30,Guadalajara,Juguetes,Auto Control Remoto,1247,2,Efectivo,Completado
PED_1163,2026-05-31,Guadalajara,Deportes,Balón de Fútbol,618,3,PayPal,Pendiente
PED_1164,2026-06-01,Puebla,Deportes,Balón de Fútbol,589,1,Tarjeta de Crédito,Pendiente
PED_1165,2026-06-02,Guadalajara,Ropa,Tenis Urbanos,1477,1,Efectivo,Completado
PED_1165,2026-06-02,Guadalajara,Ropa,Tenis Urbanos,1477,1,Efectivo,Completado
PED_1166,2026-06-02,Guadalajara,Electrónica,Laptop Pro,22376,2,Transferencia,Completado
PED_1167,2026-06-03,Guadalajara,Juguetes,Bloques de Construcción,866,1,PayPal,Completado
PED_1168,2026-06-04,Guadalajara,Ropa,Tenis Urbanos,1567,1,,Pendiente
PED_1169,2026-06-04,Puebla,Hogar,Silla Ergonómica,4094,1,Tarjeta de Crédito,Cancelado
PED_1170,2026-06-05,Ciudad de México,Electrónica,Audífonos Wireless,1541,3,PayPal,Pendiente
PED_1171,2026-06-05,Puebla,Juguetes,Juego de Mesa,577,1,PayPal,Cancelado
PED_1172,2026-06-08,Puebla,Hogar,Silla Ergonómica,4288,2,PayPal,Pendiente
PED_1173,2026-06-10,Querétaro,Ropa,Playera Algodón,350,1,Efectivo,Completado
PED_1174,2026-06-10,Monterrey,Deportes,Balón de Fútbol,598,2,,Completado
PED_1175,2026-06-10,Monterrey,Juguetes,Auto Control Remoto,1232,2,Tarjeta de Crédito,Completado
PED_1176,2026-06-12,Ciudad de México,Deportes,Balón de Fútbol,577,2,PayPal,Completado
PED_1177,2026-06-12,Querétaro,Electrónica,Laptop Pro,22039,1,PayPal,Completado
PED_1178,2026-06-13,Monterrey,Deportes,Balón de Fútbol,620,1,PayPal,Completado
PED_1179,2026-06-13,Monterrey,Electrónica,Smartphone X,12110,2,Efectivo,Completado
PED_1180,2026-06-13,Monterrey,Deportes,Tapete de Yoga,516,1,PayPal,Cancelado
PED_1181,2026-06-14,Ciudad de México,Deportes,Termo Deportivo,354,1,Tarjeta de Crédito,Cancelado
PED_1182,2026-06-14,Puebla,Juguetes,Muñeco de Acción,447,3,Efectivo,Completado
PED_1183,2026-06-15,Ciudad de México,Hogar,Lámpara Inteligente,637,3,PayPal,Pendiente
PED_1184,2026-06-16,Guadalajara,Deportes,Tapete de Yoga,490,2,Efectivo,Pendiente
PED_1185,2026-06-17,Ciudad de México,Hogar,Aspiradora Robot,6011,2,Efectivo,Pendiente
PED_1186,2026-06-18,Monterrey,Ropa,Jeans Slim,849,2,PayPal,Completado
PED_1187,2026-06-19,Puebla,Juguetes,Auto Control Remoto,1256,1,Transferencia,Completado
PED_1188,2026-06-21,Querétaro,Juguetes,Muñeco de Acción,451,1,Efectivo,Completado
PED_1189,2026-06-23,Puebla,Hogar,Cafetera Espresso,3465,2,PayPal,Completado
PED_1190,2026-06-24,Querétaro,Deportes,Termo Deportivo,359,1,PayPal,Completado
PED_1191,2026-06-24,Querétaro,Hogar,Silla Ergonómica,4307,1,Tarjeta de Crédito,Completado
PED_1192,2026-06-24,Querétaro,Hogar,Aspiradora Robot,5811,1,,
PED_1193,2026-06-24,Querétaro,Juguetes,Muñeco de Acción,454,2,PayPal,Completado
PED_1194,2026-06-25,Querétaro,Hogar,Silla Ergonómica,4272,2,Transferencia,Cancelado
PED_1195,2026-06-26,Querétaro,Deportes,Mancuernas 5kg,817,2,Efectivo,Completado
PED_1196,2026-06-28,Puebla,Juguetes,Juego de Mesa,619,1,PayPal,Cancelado
PED_1197,2026-06-29,Ciudad de México,Ropa,Tenis Urbanos,1528,2,Tarjeta de Crédito,
PED_1198,2026-06-29,Querétaro,Deportes,Balón de Fútbol,629,2,Transferencia,Completado
PED_1199,2026-06-30,Querétaro,Deportes,Balón de Fútbol,602,3,Transferencia,Completado
